Project #	Project Name	Sample #	Sample Name	Naphthalene	2-methylnaphthalene	1-methylnaphthalene	2-ethylnaphthalene	"2,6-dimethylnaphthalene"	"1,4-dimethylnaphthalene"	"1,5-dimethylnaphthalene"	"1,2-dimethylnaphthalene"	"2,6-diethylnaphthalene"	fluorene	dibenzothiophene	phenanthrene	2-methylphenanthrene	1-methylphenanthrene	"3,6-dimethylphenanthrene"	fluoranthene	pyrene	retene	1-methylpyrene	triphenylene	chrysene	benzo[b]fluoranthene	benzo[k]fluoranthene	benzo[e]pyrene	benzo[ghi]perylene	benzo[b]perylene	
F16-05	Dysphagic Foal 2016	A150917(1)	15Nov_PA_Water	15.1361473	1.547116737	0.886075949	0.147350887	0.29317629	0.043144284	0.027653309	0.024196646	0.009171325	0.174464424	0.02718984	0.314200752	0.097269181	0.073342003	0.004217568	0.135469198	0.914709518	0.009687193	0.003648049	0.003732095	0.004818644	0.003198573	0.005112961	0.007966706	0.003835993	0.02639238	
F16-05	Dysphagic Foal 2016	A160093(1)	15Dec_PA_Water	13.0295701	0.505625879	0.294655415	0.0903325	0.184355396	0.023300474	0.022020228	0.019715785	0.006186574	0.020273969	0.035384782	0.24911631	0.0033342	0.036879064	0.002811712	0.183427272	1.315203956	0.026714463	0.002427409	0.002483683	0.003180305	0.002112564	0.003361078	0.005231867	0.002536822	0.017330335	
F16-05	Dysphagic Foal 2016	A160101(1)	15Dec_NY_Water	14.12186939	1.005625879	0.540084388	0.122365302	0.170272692	0.022724363	0.021444117	0.019267699	0.005860965	0.019973169	0.035113427	0.21657409	0.066059818	0.007698309	0.002661431	0.287748443	0.840543881	0.056330816	0.002297947	0.0133602	0.003005081	0.001997622	0.003174792	0.004954419	0.002395686	0.016371213	
F16-05	Dysphagic Foal 2016	A160265(1)	16Feb_PA_Water	14.98010455	0.94233474	0.702531646	0.200525338	0.341185508	0.025924978	0.024516707	0.021636154	0.007489011	0.021777973	0.004189732	0.181787578	0.003968791	0.009778934	0.003446771	0.112231781	0.60815822	0.041138565	0.002977622	0.003048754	0.003916243	0.002604043	0.004161712	0.006460563	0.003133934	0.021431406	
F16-05	Dysphagic Foal 2016	A160274(1)	16Feb_NY_Water	21.06577202	2.102672293	0.991561181	0.189634185	0.307258994	0.025348867	0.023940597	0.02125208	0.012807294	0.021417012	0.031748616	0.194131179	0.053576073	0.053055917	0.003311034	0.16266192	0.440049444	0.036102932	0.002862031	0.002926103	0.003758542	0.002497027	0.003963535	0.006183115	0.003003655	0.020538431	
F16-05	Dysphagic Foal 2016	A160577(1)	16Apr_PA_Water	13.0295701	0.641350211	0.403656821	0.089691844	0.14338753	0.021188068	0.019907822	0.018115478	0.007163402	0.019191087	0.035059156	0.209280144	0.058777633	0.027516255	0.002254218	0.087016711	0.504326329	0.029445654	0.001941927	0.001988699	0.002531978	0.001684503	0.002671423	0.004161712	0.002012087	0.013758434	
F16-05	Dysphagic Foal 2016	A160587(1)	16Apr_NY_Water	34.32940626	4.022503516	1.814345992	0.145428919	0.307258994	0.029829727	0.017987454	0.016707208	0.003679384	0.018288684	0.031260176	0.187398306	0.002179454	0.040676203	0.001643397	0.173539009	0.524103832	0.031024623	0.004540411	0.006658198	0.001822323	0.001212842	0.003042834	0.001914388	0.002972652	0.001440307	
F16-05	Dysphagic Foal 2016	A161062(1)	16May_PA_Water	10.14277912	1.061884669	0.70323488	0.0903325	0.202278838	0.025028806	0.016643195	0.015875048	0.002431215	1.594243877	0.204059481	2.631431297	0.281924577	0.135760728	0.035388792	0.889943637	0.350556242	0.171552938	0.000901609	0.019667966	0.027203434	0.010027745	0.004122077	0.001823226	0.000883002	0.006019315	
F16-05	Dysphagic Foal 2016	A161068(1)	16May_NY_Water	49.30951081	6.561181435	2.841068917	0.15824204	0.369350915	0.01843554	0.017219306	0.048329279	0.00308786	0.018048044	0.02811245	0.147562139	0.001908973	0.023355007	0.001362226	0.143874221	0.468726823	0.022873725	0.00116978	0.001195847	0.00149378	0.000994847	0.001565597	0.002425684	0.00117613	0.008036777	
																														0.009822728
